month,plan_tier,active_customers,mrr,new_mrr,expansion_mrr,churn_mrr,arpu,cac,ltv
2024-09,Enterprise,116,116848.75,13874.66,3761.66,2444.32,1007.32,3080.17,22284.85
2024-10,Starter,423,20739.1,1702.8,1002.67,473.77,49.03,189.27,993.73
2024-10,Professional,308,61312.6,5776.83,3061.09,1159.47,199.07,553.19,4247.22
2024-10,Enterprise,123,122909.82,14131.39,4395.31,3564.82,999.27,3643.2,17913.86
2024-11,Starter,426,20898.62,2071.02,764.07,720.1,49.06,180.55,1170.48
2024-11,Professional,314,62680.69,7293.96,1719.11,1861.6,199.62,639.44,3388.64
2024-11,Enterprise,126,126312.62,11485.39,3463.21,3275.74,1002.48,3084.86,15282.84
2024-12,Starter,437,21449.57,2019.76,749.83,756.32,49.08,191.16,1167.36
2024-12,Professional,327,65135.6,6855.18,2643.43,1453.07,199.19,795.55,4174.19
2024-12,Enterprise,128,128395.93,8786.1,4107.63,4959.79,1003.09,3853.95,21630.64
2025-01,Starter,457,22398.7,2338.98,909.12,345.62,49.01,154.98,837.18
2025-01,Professional,326,65066.31,7611.09,2091.42,1216.28,199.59,653.7,3614.71
2025-01,Enterprise,131,131233.38,7997.62,5070.14,4168.99,1001.78,3613.17,18861.71
2025-02,Starter,452,22158.96,1939.55,655.56,655.93,49.02,184.33,1157.62
2025-02,Professional,345,68703.13,5945.44,1946.97,2125.52,199.14,663.22,4271.57
2025-02,Enterprise,135,135487.68,15009.28,4957.77,4303.75,1003.61,3987.67,21117.27
2025-03,Starter,466,22848.74,2049.32,944.91,779.61,49.03,173.37,1091.3
2025-03,Professional,345,68709.33,7180.07,2072.41,2107.07,199.16,540.3,3922.29
2025-03,Enterprise,140,140150.31,16360.22,2942.75,3690.99,1001.07,3551.12,15232.6
2025-04,Starter,472,23173.86,1654.45,495.07,698.7,49.1,155.78,765.15
2025-04,Professional,349,69646.93,4624.93,2203.89,1466.65,199.56,633.57,3043.86
2025-04,Enterprise,143,143628.66,12784.43,6941.6,5518.46,1004.4,2849.07,20211.0
2025-05,Starter,497,24357.8,2588.12,568.73,961.23,49.01,175.83,810.42
2025-05,Professional,357,71103.07,6284.66,2444.76,1071.03,199.17,762.73,4221.69
2025-05,Enterprise,144,144808.34,15890.2,5195.07,4093.35,1005.61,2564.31,20145.79
2025-06,Starter,505,24765.12,2231.62,1221.75,634.64,49.04,191.26,963.29
2025-06,Professional,365,72783.78,6301.82,1890.09,1809.89,199.41,599.02,3733.73
2025-06,Enterprise,150,149945.26,13268.39,4669.57,5750.53,999.64,3344.98,19033.27
2025-07,Starter,508,24894.16,2858.87,1088.44,554.28,49.0,182.1,875.44
2025-07,Professional,382,76036.64,7476.55,3547.12,2055.63,199.05,694.37,3619.55
2025-07,Enterprise,148,148114.47,9234.34,4420.67,5276.88,1000.77,3625.93,20874.94
2025-08,Starter,527,25863.65,2402.41,537.28,737.49,49.08,146.27,879.91
2025-08,Professional,385,76808.4,5581.96,2652.42,1712.75,199.5,606.42,3841.11
2025-08,Enterprise,152,152004.49,13921.13,3737.41,5856.73,1000.03,2524.7,17576.85
2025-09,Starter,531,26057.86,2797.38,1095.84,1000.83,49.07,144.98,844.11
2025-09,Professional,393,78271.38,4760.98,3141.31,2011.81,199.16,701.2,3192.78
2025-09,Enterprise,156,156203.69,12809.24,4916.07,4048.51,1001.31,2850.17,17583.8
2025-10,Starter,548,26884.17,2323.52,1065.48,433.53,49.06,125.7,1102.05
2025-10,Professional,400,79656.43,6217.36,3860.86,2297.55,199.14,539.01,4109.4
2025-10,Enterprise,157,157624.76,17724.66,5851.09,5050.97,1003.98,3905.76,18533.31
2025-11,Starter,557,27321.28,2143.77,744.77,708.37,49.05,148.25,1043.0
2025-11,Professional,415,82743.21,9057.37,4001.71,3144.89,199.38,565.82,4166.79
2025-11,Enterprise,161,161790.3,11819.12,4657.37,2993.54,1004.91,2760.6,18355.06
